sales,price,advert
203.68,100.01,63.97
204.29,103.58,64.79
219.49,96.71,44.48
131.67,89.31,105.52
219.78,94.54,64.28
153.9,88.1,99.42
180.78,100.72,78.98
183.08,116.08,38.44
216.85,94.09,45.45
219.61,92.55,65.9
192.03,105.88,56.53
206.34,104.28,56.24
220.84,101.26,47.84
202.84,88.83,9.79
218.49,99.65,49.36
147.21,108.34,0.0
236.18,83.87,64.3
232.61,94.51,36.85
242.43,77.19,37.11
220.13,84.53,49.52
227.62,77.9,61.82
212.72,97.18,19.2
224.15,84.79,11.28
213.89,103.26,28.35
175.62,101.88,3.96
213.19,97.76,30.83
201.69,69.8,94.77
219.5,93.54,28.59
202.74,99.42,71.29
193.84,101.36,20.71
238.76,81.64,62.48
231.9,94.27,47.01
219.22,88.26,53.5
202.23,90.29,69.22
136.78,112.73,98.91
216.78,90.31,59.87
192.77,99.61,58.11
204.54,110.61,30.67
210.73,93.0,69.58
212.43,98.66,48.85
206.82,101.33,75.8
213.56,100.77,53.91
160.45,85.3,98.52
177.93,100.91,5.43
188.84,116.31,47.59
207.69,81.43,77.04
204.11,110.31,46.23
211.13,101.43,35.2
220.58,92.3,48.35
190.06,124.0,20.5
206.65,109.15,57.97
125.15,85.61,116.01
183.55,100.89,83.63
203.8,106.92,27.27
228.41,97.73,33.17
208.63,108.19,44.88
197.36,99.2,80.11
196.9,108.01,34.46
192.72,117.26,37.74
187.99,91.89,77.12
183.36,102.44,76.62
230.08,94.44,45.65
218.78,101.53,27.06
221.67,85.75,16.26
225.25,93.05,37.53
175.53,97.65,0.0
176.74,110.79,73.75
190.31,113.74,39.25
224.68,84.12,67.03
140.55,90.46,101.71
170.31,107.76,84.32
240.34,76.09,26.22
195.21,94.44,76.73
174.79,98.83,83.95
182.69,115.08,36.34
215.64,108.27,31.17
208.64,96.07,52.26
213.69,95.58,14.96
171.45,97.0,91.77
143.5,118.28,0.0
206.8,94.86,27.33
228.85,96.36,48.26
224.8,104.23,49.32
204.75,98.55,59.15
209.35,97.63,61.79
240.14,86.63,49.66
190.74,99.86,83.42
206.34,94.68,1.52
191.15,113.99,55.0
208.62,107.84,37.14
200.86,99.71,58.31
216.14,108.02,60.52
213.12,95.92,32.2
186.23,112.63,38.98
191.04,99.94,74.81
197.58,107.0,63.73
249.57,84.51,37.99
124.64,104.16,106.0
121.44,79.74,112.73
238.41,75.58,18.44
224.94,96.35,62.54
110.71,89.2,117.72
200.3,101.97,74.6
179.82,126.94,60.53
226.13,90.02,49.8
227.22,92.51,41.47
212.86,102.46,49.69
203.11,105.92,41.23
209.49,97.88,73.62
207.92,97.53,45.05
212.67,108.43,43.97
203.69,106.24,24.95
229.16,87.6,53.76
210.59,99.05,32.65
212.61,100.42,50.48
203.17,87.35,81.05
208.41,103.12,64.15
218.07,89.7,67.62
199.8,111.66,63.9
204.54,102.31,56.48
216.69,101.07,51.82
212.26,92.91,47.3
202.2,98.58,73.98
237.89,76.03,27.89
182.38,86.42,88.52
216.64,104.35,55.85
254.23,74.46,36.28
180.41,110.16,42.77
242.07,79.05,38.08
187.49,109.08,59.01
233.87,89.85,37.05
191.46,109.35,83.55
209.51,101.57,35.46
213.51,81.56,0.0
192.6,114.99,36.73
164.01,117.3,4.79
