sales,price,advert
230.36,103.66,48.81
237.01,87.52,35.41
227.74,109.01,41.71
234.65,111.29,62.68
254.08,76.59,50.06
273.51,84.37,56.8
243.1,101.53,63.4
228.27,96.21,42.5
258.46,99.8,65.12
262.4,89.76,57.58
192.55,110.55,25.3
253.89,109.33,78.85
238.42,100.79,39.99
190.66,113.53,16.9
231.39,105.61,29.1
236.71,89.69,29.58
235.02,104.43,51.04
243.56,88.49,44.52
228.58,110.54,43.26
251.08,99.4,62.39
246.33,97.78,56.8
245.22,91.83,56.32
227.81,114.67,58.2
247.1,98.15,62.32
186.21,94.86,7.84
225.34,95.77,42.71
189.01,106.39,6.4
209.15,104.39,50.72
236.06,104.95,49.91
236.31,105.17,70.91
229.72,125.7,73.75
243.15,95.12,54.06
246.77,93.85,39.99
252.44,90.23,59.7
224.59,107.39,39.44
231.09,113.55,49.97
244.18,98.63,69.72
253.88,89.92,38.84
248.49,90.11,66.11
239.5,107.81,63.55
222.69,108.92,30.9
245.91,106.52,69.48
274.79,92.01,63.97
230.2,102.79,52.04
212.59,101.4,34.75
213.05,102.62,32.82
226.22,110.46,39.25
246.86,102.68,60.85
215.4,108.15,30.89
232.13,100.81,58.75
221.2,103.47,25.16
216.01,107.58,45.92
273.83,82.51,52.19
273.82,96.16,98.9
224.8,94.36,22.45
262.29,92.33,79.44
240.72,96.7,53.0
204.49,117.94,58.22
247.79,89.61,52.37
219.52,111.62,58.89
247.81,79.81,46.93
269.35,95.98,79.08
233.91,101.95,40.87
242.79,107.03,72.64
216.94,108.53,37.11
226.11,109.52,48.79
236.29,95.82,28.56
250.8,94.45,59.1
240.27,110.3,78.9
239.84,97.7,48.45
252.4,84.69,46.06
222.91,86.4,27.71
230.46,88.97,45.41
198.93,105.97,18.14
223.56,101.71,31.74
219.67,108.29,54.54
253.28,94.87,76.38
234.09,101.9,106.18
200.74,107.51,38.27
242.64,96.29,78.71
240.13,105.48,54.88
251.48,92.06,46.98
237.98,95.64,58.65
247.81,95.42,51.24
268.71,85.65,52.21
235.06,105.84,41.83
219.65,94.37,22.04
205.18,100.15,19.13
232.57,105.77,63.06
234.56,105.36,44.47
223.51,107.98,38.08
247.81,98.82,50.17
253.92,94.92,65.9
251.34,99.04,53.61
255.3,79.75,36.88
276.18,82.63,74.53
274.73,84.13,81.58
251.08,88.03,59.89
223.3,104.8,69.47
275.97,89.13,74.84
255.44,95.46,72.6
209.71,115.59,62.28
243.45,95.72,61.97
242.04,108.85,60.39
231.7,88.8,28.05
243.89,97.53,64.01
242.6,88.6,22.88
221.84,95.93,34.11
227.4,110.08,76.07
273.68,79.27,66.8
244.88,105.21,79.75
237.93,102.85,44.57
237.47,92.87,26.96
259.65,82.65,45.19
245.03,100.87,52.04
245.95,93.65,51.58
244.71,102.79,72.67
235.8,100.26,42.77
222.71,119.22,57.04
234.62,97.13,30.23
264.72,87.72,59.01
237.9,102.15,50.06
217.04,102.64,35.0
218.01,116.31,45.28
225.32,110.02,46.32
233.2,104.28,44.6
247.19,117.56,85.43
250.65,85.73,48.03
250.22,92.32,45.12
217.74,88.88,8.05
232.02,95.32,32.12
279.71,83.48,44.74
216.59,107.62,36.28
253.86,97.33,77.63
251.08,82.35,46.7
258.6,87.81,75.77
238.7,103.76,51.23
236.83,110.06,50.74
213.33,123.96,48.22
210.68,134.97,50.08
239.53,104.97,84.38
197.27,88.13,3.61
254.49,74.42,9.97
232.15,103.21,39.14
244.68,90.24,50.29
245.03,95.02,63.8
243.99,92.65,59.46
246.07,98.31,42.32
228.25,112.79,70.38
246.28,101.88,70.6
243.7,98.1,53.68
269.33,87.57,69.25
258.56,79.9,55.45
228.0,94.16,38.77
249.05,99.35,63.96
221.82,121.22,52.21
241.47,101.56,50.03
225.02,111.79,79.46
195.72,94.01,0.98
222.97,85.78,21.65
227.67,88.42,26.26
236.01,91.3,42.73
219.0,125.54,44.91
229.17,90.14,19.85
217.5,110.06,30.3
251.59,89.16,32.78
255.21,111.18,99.15
223.4,104.62,86.03
229.12,98.12,41.77
229.43,99.51,42.73
220.79,92.14,27.02
182.43,105.35,11.84
242.09,94.54,47.66
228.73,85.29,30.04
260.7,84.66,48.3
206.54,102.07,18.0
210.14,118.95,34.76
244.45,101.92,52.97
251.49,98.58,57.32
236.32,103.43,58.35
218.19,115.67,23.59
245.94,102.63,67.09
214.62,95.07,34.0
219.72,113.28,62.66
216.29,105.15,49.79
192.45,118.43,22.47
231.87,102.2,43.68
256.69,85.31,57.31
285.36,83.58,62.26
219.93,119.81,47.18
229.56,120.68,80.64
240.49,97.85,70.15
232.13,95.4,44.87
225.62,117.54,65.0
262.93,86.72,88.68
239.4,89.26,89.21
206.96,107.72,25.44
230.58,95.26,31.47
245.16,99.94,79.7
216.14,98.04,28.83
205.48,104.05,23.55
210.99,116.89,40.28
243.8,101.09,58.4
235.5,107.73,47.95
270.49,75.4,36.99
227.49,99.42,36.52
236.6,89.88,35.75
247.66,85.37,32.41
261.15,89.46,95.63
243.61,95.99,55.95
241.58,110.99,67.74
261.88,84.08,40.22
250.08,100.37,46.28
253.75,94.19,35.73
176.05,96.07,0.0
200.05,112.03,22.44
194.9,106.46,13.79
168.47,116.05,5.0
214.53,98.15,26.09
242.64,91.65,76.5
243.61,97.31,49.11
236.32,102.91,75.81
242.44,102.12,58.22
254.13,86.99,65.65
212.99,101.09,31.98
244.03,102.74,60.48
