grade,math,classtype
k,473,small
k,536,small
k,463,regular+aide
k,559,regular
k,489,small
k,454,regular
k,423,regular+aide
k,500,regular
k,439,small
k,528,small
k,473,regular
k,468,regular+aide
k,559,small
k,494,small
k,528,regular+aide
k,484,regular
k,459,regular+aide
k,528,regular
k,478,small
k,559,regular
k,454,regular
k,473,regular+aide
k,602,small
k,459,regular+aide
k,576,regular+aide
k,520,regular+aide
k,559,regular
k,459,regular+aide
k,513,regular
k,423,regular
k,494,regular+aide
k,439,small
k,434,regular
k,434,small
k,454,regular+aide
k,484,regular
k,559,small
k,459,small
k,506,small
k,576,small
k,484,regular
k,434,regular+aide
k,528,small
k,478,regular+aide
k,602,small
k,439,small
k,547,regular
k,489,regular+aide
k,500,small
k,468,small
k,547,small
k,513,regular
k,405,regular+aide
k,506,small
k,513,regular
k,559,small
k,547,regular+aide
k,454,regular+aide
k,494,small
k,626,small
k,500,regular
k,449,regular+aide
k,528,regular+aide
k,500,regular+aide
k,506,regular
k,473,small
k,444,regular
k,459,regular+aide
k,463,small
k,559,regular+aide
k,536,regular
k,473,regular+aide
k,500,small
k,520,small
k,473,regular+aide
k,500,regular
k,468,small
k,513,regular+aide
k,506,small
k,473,regular+aide
k,506,small
k,484,regular
k,468,small
k,468,small
k,412,small
k,459,regular
k,506,regular
k,463,small
k,500,regular
k,463,regular
k,468,regular
k,434,regular+aide
k,418,small
k,484,small
k,528,small
k,494,regular+aide
k,439,regular+aide
k,489,small
k,528,regular
k,536,regular+aide
k,468,small
k,559,small
k,559,regular
k,459,regular+aide
k,559,small
k,536,regular+aide
k,576,small
k,536,regular
k,536,regular
k,429,regular+aide
k,423,small
k,489,regular
k,399,regular
k,478,regular
k,473,regular+aide
k,520,regular
k,528,regular
k,576,small
k,484,small
k,459,small
k,468,regular+aide
k,468,regular+aide
k,484,regular+aide
k,478,regular
k,449,small
k,454,regular+aide
k,429,small
k,513,small
k,468,regular+aide
k,500,regular
k,500,regular+aide
k,459,small
k,513,small
k,418,regular+aide
k,473,regular+aide
k,449,regular
k,463,regular
k,459,regular
k,528,regular
k,489,regular+aide
k,559,regular
k,494,regular+aide
k,506,regular+aide
k,536,regular+aide
k,494,regular
k,484,regular+aide
k,412,small
k,559,small
k,506,regular+aide
k,489,small
k,547,regular+aide
k,500,small
k,473,regular+aide
k,434,regular
k,489,small
k,444,small
k,418,regular+aide
k,489,regular
k,576,regular
k,463,regular
k,473,regular
k,489,regular+aide
k,459,regular+aide
k,520,regular
k,484,regular+aide
k,513,small
k,468,regular
k,478,regular+aide
k,418,regular+aide
k,513,regular
k,506,small
k,576,regular
k,459,regular+aide
k,520,small
k,576,regular+aide
k,559,regular+aide
k,412,regular+aide
k,489,regular+aide
k,528,regular
k,444,regular+aide
k,454,regular
k,500,regular+aide
k,444,small
k,478,regular+aide
k,536,small
k,513,small
k,478,regular+aide
k,468,small
k,463,regular
k,547,regular+aide
k,484,regular+aide
k,468,regular+aide
k,468,regular+aide
k,449,regular+aide
k,489,regular+aide
k,478,regular
k,559,regular
k,484,regular+aide
k,449,regular
k,454,small
k,478,regular+aide
k,454,regular+aide
k,484,small
k,484,regular+aide
k,454,regular
k,429,small
k,513,regular
k,473,regular
k,423,small
k,463,regular
k,478,small
k,459,regular
k,459,regular+aide
k,478,regular
k,423,regular+aide
k,559,regular
k,449,regular
k,463,regular+aide
k,449,regular+aide
k,459,regular+aide
k,454,small
k,494,regular+aide
k,434,regular+aide
k,547,small
k,429,regular
k,494,regular+aide
k,500,regular
k,468,regular+aide
k,444,regular
k,500,regular
k,506,regular+aide
k,528,regular
k,506,small
k,439,small
k,559,regular
k,478,regular
k,494,regular
k,484,small
k,484,regular
k,468,regular
k,528,small
k,439,regular
k,506,regular+aide
k,459,regular
k,559,regular
k,576,small
k,439,regular
k,500,small
k,520,regular+aide
k,459,regular
k,489,small
k,528,regular
k,559,small
k,473,small
k,405,regular
k,602,regular
k,484,small
k,547,small
k,484,regular+aide
k,449,regular+aide
k,454,small
k,459,small
k,473,regular+aide
k,484,regular
k,513,regular+aide
k,536,small
k,478,small
k,513,regular+aide
k,473,small
k,473,small
k,478,regular+aide
k,484,regular
k,459,small
k,536,small
k,528,regular+aide
k,484,regular
k,494,regular
k,418,regular+aide
k,439,regular
k,473,regular
k,626,small
k,423,regular
k,444,regular+aide
k,500,small
k,444,regular+aide
k,468,regular
k,536,regular
k,494,small
k,473,small
k,454,regular+aide
k,449,regular+aide
k,463,regular+aide
k,489,regular
k,429,small
k,454,regular+aide
k,536,regular
k,468,regular+aide
k,500,regular+aide
k,484,regular+aide
k,547,regular
k,536,regular+aide
k,454,regular
k,463,regular+aide
k,473,regular+aide
k,489,small
k,528,small
k,489,regular
k,478,small
k,473,regular
k,320,regular
k,463,regular
k,602,small
k,500,regular
k,444,regular
k,528,small
k,536,small
k,536,regular
k,473,regular
k,513,regular
k,513,regular+aide
k,399,regular
k,434,regular
k,520,regular
k,506,regular
k,626,regular+aide
k,468,small
k,536,regular
k,459,regular
k,473,small
k,547,regular+aide
k,520,small
k,412,small
k,513,regular+aide
k,520,regular+aide
k,494,small
k,506,regular+aide
k,536,small
k,478,regular
k,478,small
k,500,small
k,459,small
k,478,regular+aide
k,484,small
k,484,small
k,559,regular+aide
k,520,small
k,513,small
k,520,regular+aide
k,494,regular+aide
k,473,regular
k,478,small
k,459,regular+aide
k,500,small
k,513,small
k,484,small
k,506,regular+aide
k,454,regular
k,468,regular+aide
k,576,regular+aide
k,484,regular
k,449,small
k,459,regular
k,439,small
k,459,regular
k,494,regular
k,478,regular+aide
k,365,regular+aide
k,449,regular+aide
k,478,small
k,454,small
k,454,regular+aide
k,468,regular+aide
k,513,regular
k,423,regular
k,559,regular
k,478,regular
k,399,regular+aide
k,494,small
k,423,regular+aide
k,473,regular
k,459,small
k,559,regular+aide
k,576,regular+aide
k,494,small
k,602,small
k,500,small
k,449,regular
k,494,regular
k,484,regular+aide
k,489,regular+aide
k,439,regular
k,489,regular
k,444,regular
k,506,small
k,528,regular
k,412,regular
k,418,regular+aide
k,459,small
k,489,regular
k,434,small
k,559,regular
k,478,regular
k,626,small
k,626,small
k,473,small
k,513,regular
k,418,regular
k,454,regular
k,602,small
k,463,regular+aide
k,559,regular+aide
k,520,small
k,468,regular+aide
k,500,regular
k,547,small
k,559,regular+aide
k,506,small
k,473,regular+aide
k,459,small
k,418,regular
k,468,regular+aide
k,473,regular
k,423,regular+aide
k,536,regular
k,449,regular+aide
k,484,regular+aide
k,429,regular
k,468,small
k,494,regular
k,520,regular
k,365,small
k,576,regular
k,449,regular
k,473,regular
k,449,regular+aide
k,489,regular+aide
k,547,small
k,412,small
k,602,regular+aide
k,559,regular+aide
k,513,regular
k,384,regular
k,429,regular
k,449,regular+aide
k,484,regular+aide
k,484,regular
k,513,regular
k,494,regular
k,484,small
k,439,regular+aide
k,536,regular
k,500,regular
k,463,small
k,494,regular+aide
k,513,regular+aide
k,528,regular
k,418,regular+aide
k,489,small
k,520,regular+aide
k,500,regular
k,454,regular+aide
k,434,small
k,444,regular
k,494,regular+aide
